N,P,K,temperature,humidity,ph,rainfall,label
71,59,42,24.19,81.56,5.86,205.81,rice
86,50,42,20.14,89.7,7.41,221.23,rice
65,40,38,23.67,84.32,6.17,261.19,rice
64,42,39,23.19,87.85,5.96,251.42,rice
78,36,41,21.19,80.65,7.68,296.56,rice
84,43,36,24.79,84.4,5.78,249.52,rice
61,58,38,24.64,83.12,6.7,254.67,rice
66,59,43,26.58,88.95,6.88,292.19,rice
63,40,35,22.28,83.89,6.12,282.87,rice
71,42,40,20.99,88.02,5.67,298.69,rice
83,40,35,25.71,87.07,7.18,277.13,rice
62,44,36,26.04,86.23,6.26,206.36,rice
69,43,42,24.46,88.87,6.59,211.96,rice
81,54,41,25.4,84.94,6.7,242.75,rice
61,38,35,24.45,83.14,6.67,290.76,rice
67,45,43,21.6,80.77,6.17,216.12,rice
88,55,41,26.1,88.04,5.93,289.26,rice
76,55,44,22.23,81.1,6.02,242.71,rice
85,57,35,23.58,84.17,6.01,211.99,rice
70,59,38,23.63,87.03,6.34,297.18,rice
89,41,40,22.11,82.85,5.58,260.96,rice
75,36,38,26.36,82.4,5.83,248.95,rice
90,41,42,25.33,82.38,7.17,236.78,rice
79,51,40,20.63,88.35,6.24,218.65,rice
61,50,42,20.12,85.12,6.02,264.52,rice
65,52,39,26.56,81.38,6.28,211.35,rice
88,57,38,24.62,88.17,6.78,252.97,rice
67,37,44,26.3,86.33,6.28,234.92,rice
82,57,44,25.46,86.42,5.69,216.16,rice
87,50,35,20.71,86.64,5.51,216.08,rice
76,52,42,21.57,87.12,6.05,232.54,rice
82,51,43,24.6,85.68,5.72,236.77,rice
68,41,45,22.75,88.92,6.95,279.48,rice
75,49,40,21.37,87.22,6.15,202.43,rice
79,39,44,26.68,89.15,6.35,201.55,rice
88,46,45,26.75,88.53,6.18,238.51,rice
86,43,37,23.9,89.36,7.1,257.01,rice
63,50,45,20.98,85.18,7.52,274.08,rice
81,53,39,22.06,88.09,7.36,286.71,rice
87,48,40,25.59,86.5,7.11,279.58,rice
87,43,39,20.66,85.78,5.58,246.56,rice
76,42,41,20.21,80.37,7.39,236.02,rice
64,48,43,21.51,86.23,5.7,205.17,rice
76,49,41,25.08,89.76,6.69,232.3,rice
84,42,39,20.55,80.25,7.71,283.6,rice
81,45,37,21.1,82.5,6.76,271.46,rice
80,42,45,25.17,85.54,6.91,241.96,rice
67,44,43,20.1,81.16,5.61,204.07,rice
86,53,40,20.68,84.92,6.59,217.32,rice
73,45,41,24.45,80.45,6.36,262.59,rice
75,56,42,21.14,80.71,6.98,202.65,rice
78,59,41,22.72,86.43,6.55,254.56,rice
88,45,45,26.34,81.96,5.66,210.08,rice
61,37,42,20.5,83.19,7.44,202.33,rice
84,42,36,24.88,86.29,7.52,273.51,rice
84,42,37,25.25,88.07,7.78,241.26,rice
71,54,38,26.52,88.58,6.49,275.09,rice
83,38,44,23.54,88.26,6.24,289.55,rice
72,35,44,20.64,83.19,7.69,295.06,rice
77,51,39,22.05,83.29,7.05,275.24,rice
84,55,36,23.46,80.58,6.76,244.15,rice
87,44,36,21.0,87.62,6.92,210.11,rice
63,53,36,25.75,87.06,5.69,208.48,rice
90,44,39,25.69,89.47,7.77,275.34,rice
71,37,43,23.91,84.24,7.58,211.12,rice
75,35,40,20.39,81.19,5.77,264.92,rice
82,50,45,22.62,82.86,7.5,222.36,rice
89,35,45,20.3,88.91,6.71,299.3,rice
62,49,45,23.66,86.29,7.1,245.45,rice
79,50,44,20.32,82.81,7.69,289.03,rice
74,51,38,21.32,84.64,6.31,258.37,rice
62,59,45,24.89,85.36,6.21,281.38,rice
81,39,44,25.76,89.5,7.17,261.34,rice
73,58,44,20.32,80.26,6.37,281.06,rice
90,39,41,22.67,89.7,7.44,283.83,rice
74,45,38,20.39,88.65,7.37,299.97,rice
90,49,43,26.61,88.5,6.07,245.05,rice
64,59,41,21.6,86.72,6.92,235.82,rice
63,52,40,25.41,85.2,7.46,255.19,rice
77,57,39,20.94,80.29,7.24,262.03,rice
81,40,36,20.1,83.51,6.86,239.22,rice
73,58,38,23.6,87.84,6.41,262.21,rice
86,59,36,26.49,84.92,6.09,245.91,rice
89,47,38,24.43,82.4,5.67,212.89,rice
64,39,36,24.49,81.82,6.3,289.68,rice
74,52,37,21.35,80.41,5.89,227.86,rice
65,37,36,23.23,82.06,6.34,250.34,rice
81,36,43,24.4,80.82,7.51,292.09,rice
62,42,43,25.24,81.85,5.98,237.05,rice
75,50,39,23.24,87.47,5.58,225.24,rice
81,57,40,23.72,81.07,6.53,253.26,rice
67,42,39,20.14,83.22,5.99,232.75,rice
64,57,41,24.75,87.89,6.65,208.69,rice
76,50,42,23.02,81.28,6.15,236.31,rice
79,49,39,26.91,86.06,6.05,210.18,rice
65,41,37,21.31,82.85,5.9,289.68,rice
62,48,39,26.88,81.12,6.42,296.95,rice
86,55,38,21.2,86.69,7.64,255.68,rice
77,42,43,21.31,83.24,6.48,250.76,rice
67,38,41,22.02,85.81,5.86,248.11,rice
81,36,18,19.21,56.27,6.98,76.12,maize
